English	French
a mere glance is not enough for us to tell one from the other	on n arrive pas à les dissocier au premier coup d œil
i am sorry if i snapped at you	je suis désolé de m en être pris à toi
we spent more money than was expected	on a dépensé plus d argent que prévu
children play with toys	les enfants jouent avec les jouets
she is not a child	elle ne est pas une enfant
the bus stopped in every village	le bus s est arrêté dans chaque village
tom is not a member	tom ne est pas un membre
i am just going across to the flower shop	je traverse juste pour aller chez le fleuriste
i was in all day	je suis restée cloîtrée toute la journée
the first time you meet people you should be careful about how near you stand to them	la première fois que tu rencontres une personne tu devrais être attentif à la proximité avec laquelle tu te tiens par rapport à elle
i could not live like that	je ne pourrais pas vivre ainsi
i am just a plain office worker	je suis un simple employé de bureau
how long would it take to swim across the river	combien de temps cela prendrait il pour traverser la rivière à la nage
you are always watching tv	vous regardez tout le temps la télévision
i want you to work harder	je veux que vous travailliez davantage
i gave up my job	je ai laissé tomber mon poste
it has not always been like this	cela n a pas toujours été ainsi
i used to think it did not really matter what i fed my dog	je pensais que ce que je donnais à manger à mon chien n avait pas vraiment d importance
get a job so you can support your wife and kids	trouvez un emploi de façon à pouvoir subvenir aux besoins de votre femme et de vos enfants
i have a cat	je ai une chatte
are you sure that s safe	es tu sûre que ce est sûr
the ice was thick enough to walk on	la glace était assez épaisse pour marcher dessus
you are preaching to the choir	tu prêches une convaincue
i heard her sing a song	je l ai entendue chanter
she performed her duties	elle a accompli ses devoirs
i did not see you until now	je ne vous ai pas vus jusqu à présent
i could not catch what he said	je ne pouvais pas saisir ce qu il disait
he demanded that i should pay the money back at once	il exigea que je rembourse immédiatement l argent
i have lost my best friend	je ai perdu ma meilleure amie
tom is an architect right	tom est architecte pas vrai
you have no right to go there	vous n avez pas le droit d aller là
you are amusing	tu me fais marrer
he does not have any children	il n a pas d enfants
i called them	je les ai appelées
they were naive	elles étaient naïves
i do not want to exert myself in vain	je ne veux pas me fatiguer pour rien
i think that she is honest	je pense qu elle est honnête
i do not know what we are going to find but we should find something	je ne sais pas ce que nous allons trouver mais nous devrions trouver quelque chose
who are you	qui êtes vous
is this some kind of joke	s agit il d une sorte de plaisanterie
why did you like it	pourquoi l avez vous aimé
i just cannot wait to go to school	je suis impatient d aller à l école
mary claims you stole her pearls	marie prétend que tu lui as volé ses perles
where is the nearest telephone	où se trouve le téléphone le plus proche
is not that what you are trying to tell me	ne est ce pas là ce que vous essayez de me dire
why do not you come visit us	pourquoi ne viens tu pas nous voir
that sort of flattery will get you nowhere	cette sorte de flatterie ne te mènera nulle part
they were scolded by the teacher	elles furent grondées par l institutrice
that s what you get for not listening	ce est ce que tu gagnes à ne pas écouter
how often do you use your phone	à quelle fréquence utilisez vous votre téléphone
it is a tremendous deal	ce est un contrat énorme
when you cannot do what you want you do what you can	quand on ne peut pas faire ce que l on veut on fait ce que l on peut
there must be a pattern	il doit y avoir une récurrence
he had dinner by himself	il a dîné seul
he had little experience with international issues	il avait peu d expérience des problèmes internationaux
a bad cold prevented her from attending the class	un mauvais rhume l empêcha d assister au cours
this tea is too bitter	ce thé est par trop amer
the boy who had been missing was identified by his clothes	le garçon qui avait disparu fut identifié d après ses vêtements
we must go now	nous devons y aller maintenant
i just got bitten	je viens de me faire mordre
he felt ill at ease	il s est senti mal à l aise
the basket was filled with strawberries	le panier était rempli de fraises
what do you need to know	qu as tu besoin de savoir
she went out	elle est partie
i cannot believe i am doing this	je n arrive pas à croire que je sois en train de le faire
cats are cute	les chats sont mignons
is that what you really want to do	est ce là ce que tu veux vraiment faire
leave out this word	excluez ce mot
apparently the murder happened in a locked room	apparemment le meurtre a eu lieu en chambre close
do you still have tom s umbrella	as tu encore le parapluie de tom
tomorrow i will take the books to the library	demain j amènerai les livres à la bibliothèque
can you imagine what life would be like without television	peux tu t imaginer comment serait la vie sans télévision
there is little hope that they are alive	il y a peu d espoirs qu ils soient vivants
i could not enter because the door was closed	je ne pus entrer car la porte était fermée
this car is my father s but it ll soon be mine	cette voiture est à mon père mais ce sera bientôt la mienne
we went to the beach to swim	nous sommes allés à la plage pour nager
you knew did not you	tu savais ne est ce pas
i hit him on the chin	je l ai frappé au menton
we started to walk	nous commençâmes à marcher
why would you do that without telling us	pourquoi ferais tu cela sans nous le dire
tom and mary do not get along	tom et mary ne s entendent pas
we are both writers	nous sommes tous deux écrivains
he does not always come late	il ne vient pas toujours en retard
they went on a trip a few days ago	ils sont partis en voyage il y a quelques jours
give him a day or two	donne lui un jour ou deux
a nuclear war will bring about the destruction of mankind	une guerre nucléaire causera l anéantissement de l humanité
it is a risky proposition	ce est une proposition risquée
correct me if i am wrong	corrigez moi si je me trompe
you are really annoying	tu es vraiment embêtante
i will see you in court	on se verra au tribunal
i hiccup a lot	je ai souvent le hoquet
can i make you a drink	puis je te servir un verre
how do we find it	comment est ce qu on le trouve
tom allowed me to go	tom m a permis de partir
the king ruled the country for years	le roi gouverna le pays pendant des années
she is very thoughtful and patient	elle est vraiment attentive et patiente
this is a book	ceci est un livre
he is about to go	il est sur le point d y aller
i recovered from my illness	je me suis remis de ma maladie
he showed me his collection of stamps	il me montra sa collection de timbres
